Data Inserção;Tipo Entrega;Pedido;Data Nfe;Serie Nfe;Número Nfe;Valor Nfe;Qtd. Volumes;Peso;Remessa;Nome Destinatário;Endereço Completo;CEP;Cód. CD;CD;CNPJ/CPF Dest.;Transportador;Lead Time;Data Prev. Entrega;Status Prazo;ID Últ. Ocr.;Última Ocorrência;Chave Últ. Ocr.;Data Última Ocr.;Agrupador;Endereço;Numero;Bairro;Cidades;UF;Etiquetas;Chegada na Transportadora;Cod. Vendedor;Chave NFe
26/03/2025 18:47:49;NATURA CN;96877558;21/01/2025 00:00:00;001;53193227;253.28;3;4.08;1326593455;Theo Viana;Viaduto Vicente Nogueira, 3;12051-740;4370;Grande;72.093.518/0001-28;Costa Monteiro S/A;5;23/02/2025 00:00:00;No Prazo;649;Entrega Realizada;2;08/03/2025 00:00:00;maxime;Lagoa Marcos Vinicius da Costa;450;Vila Engenho Nogueira;Lima;RR;;12/01/2025 00:00:00;861171;332733192227752
09/02/2025 00:35:08;NATURA CN;56795373;21/01/2025 00:00:00;001;46807555;416.25;3;1.93;64857168651;Clarice Novaes;Núcleo Mendes, 75;47679343;3886;Grande;79.248.015/0001-23;Farias Cardoso S.A.;2;21/03/2025 00:00:00;Atrasado;810;Em Rota;2;11/01/2025 00:00:00;tenetur;Praça de Moraes;412;São Tomaz;Gonçalves da Praia;AC;;24/03/2025 00:00:00;882450;840006190807581
27/02/2025 20:43:28;NATURA CN;51055539;19/03/2025 00:00:00;001;75672359;396.29;1;3.49;21390340716;Maria Vitória Barbosa;Trevo João Pedro Barbosa, 824;76531105;8999;Paulista;50.792.648/0001-16;Oliveira Ribeiro e Filhos;7;27/01/2025 00:00:00;No Prazo;577;Saiu para Entrega;2;08/03/2025 00:00:00;assumenda;Alameda Yago Silveira;548;Boa Vista;Moreira;PI;;20/01/2025 00:00:00;891278;662730460000204
27/01/2025 11:48:16;AVON;85733361;03/02/2025 00:00:00;001;19484849;139.72;3;3.54;50801599294;Dra. Luana Vieira;Aeroporto Correia, 53;65194620;5202;da Prata;92.350.187/0001-71;da Paz da Cruz S.A.;5;05/01/2025 00:00:00;Atrasado;849;Entrega Realizada;1;01/01/2025 00:00:00;modi;Rodovia Oliveira;402;Santa Cruz;Carvalho;MG;;23/01/2025 00:00:00;595986;239649321322812
26/03/2025 04:20:08;NATURA RN;65546499;26/03/2025 00:00:00;001;61373006;218.82;1;3.81;27857735405;Bernardo Freitas;Loteamento de Ribeiro;62272-604;8562;Grande;15.294.873/0001-21;Barros Ltda.;7;23/02/2025 00:00:00;Atrasado;311;Saiu para Entrega;1;02/03/2025 00:00:00;est;Condomínio de Oliveira;640;São Benedito;Martins;DF;;10/03/2025 00:00:00;690824;985097906972981
04/02/2025 18:55:06;AVON;82592867;01/01/2025 00:00:00;001;81479966;419.68;1;2.61;81036124108;Bryan Rodrigues;Parque de Farias, 73;50505-349;4293;Verde;03.951.427/0001-63;Jesus Gomes e Filhos;7;19/03/2025 00:00:00;Finalizado No Prazo;579;Entrega Realizada;3;29/01/2025 00:00:00;debitis;Estrada Isabel Ribeiro;393;Marieta 1ª Seção;Cavalcanti das Flores;SP;;17/01/2025 00:00:00;6374;634690495534823
04/03/2025 04:09:10;NATURA RN;36371156;24/01/2025 00:00:00;001;36664977;84.42;3;1.8;25755746221;Kaique Sales;Estação Gabriela Costa, 45;78243-148;1656;do Campo;58.942.603/0001-92;Barros;4;19/03/2025 00:00:00;No Prazo;895;Em Rota;1;08/02/2025 00:00:00;placeat;Sítio Castro;917;Minas Caixa;da Rocha;SE;;10/01/2025 00:00:00;220353;623086804495551
19/02/2025 19:11:55;NATURA RN;49065437;22/01/2025 00:00:00;001;93983933;382.61;1;0.24;85559944050;João Miguel Rocha;Estrada de Pereira, 19;63876241;3194;das Flores;14.386.792/0001-99;Fogaça;6;02/02/2025 00:00:00;Atrasado;258;Saiu para Entrega;3;04/01/2025 00:00:00;distinctio;Pátio Cunha;647;Beira Linha;Santos Paulista;AC;;29/01/2025 00:00:00;495975;77182812880550
02/01/2025 08:54:37;NATURA CN;54174400;04/03/2025 00:00:00;001;48612877;498.35;1;1.94;6147254751;Elisa Rocha;Colônia João Vitor da Luz, 31;67430-679;8907;de Minas;68.102.734/0001-15;Correia - ME;8;14/01/2025 00:00:00;No Prazo;636;Saiu para Entrega;2;21/02/2025 00:00:00;ipsam;Largo Maria Alice Costela;218;Vila Havaí;Duarte do Galho;RR;;05/02/2025 00:00:00;941367;199799834542082
15/01/2025 23:04:01;NATURA RN;95650047;27/01/2025 00:00:00;001;70264743;251.61;3;4.12;92569005140;Isabel Rezende;Núcleo Moreira, 63;65115-680;8708;de Goiás;57.063.841/0001-65;Duarte;4;13/01/2025 00:00:00;No Prazo;973;Saiu para Entrega;3;02/02/2025 00:00:00;inventore;Conjunto da Cunha;46;Morro Dos Macacos;Novaes;GO;;07/02/2025 00:00:00;622188;97559036112190
